málsnúmer;málsheiti;staða máls;heildartími;nefndir
56;óundirbúinn fyrirspurnatími;;;
57;áherslur nýrrar ríkisstjórnar í ríkisfjármálum;;;
58;ríkisfjármál;;;
59;breytt stefna Framsóknarflokksins í velferðarmálum;;;
60;séreignarsparnaður;;;
61;breyting á lögum um veiðigjöld;;;
62;dreifiveita og raforka til garðyrkjubænda;;;
67;jafnlaunaátak og kjarasamningar;;;
83;staða geðheilbrigðismála barna og unglinga á Norðausturlandi;;;
91;óundirbúinn fyrirspurnatími;;;
92;breyting á stjórnarskrá og þjóðaratkvæðagreiðslur;;;
93;friðlýsing Þjórsárvera;;;
94;málefni ferðaþjónustu;;;
95;fjárfestingaráætlun fyrri ríkisstjórnar;;;
96;aukið fjármagn í skatteftirlit;;;
101;óundirbúinn fyrirspurnatími;;;
102;orkuverð til álvers í Helguvík;;;
103;tekjuöflun fyrir skattalækkunum;;;
123;bygging nýs Landspítala;;;
147;eftirlit bandarískra stjórnvalda með íslenskum borgurum;;;
159;óundirbúinn fyrirspurnatími;;;
160;jafnlaunaátak á heilbrigðisstofnunum;;;
161;ríkisfjármál;;;
162;endurskoðun fjárreiðulaga;;;
163;nýjar reglur LÍN um námsframvindu;;;
179;óundirbúinn fyrirspurnatími;;;
180;ályktun Evrópuráðsins og landsdómur;;;
181;njósnir Bandaríkjamanna í Evrópu;;;
182;breytingar á útlánareglum LÍN;;;
183;ferðamálaáætlun 2011--2020;;;
184;aflandsreikningar og skatteftirlit;;;
207;úthlutunarreglur LÍN og kjör stúdenta;;;
231;óundirbúinn fyrirspurnatími;;;
232;málefni Reykjavíkurflugvallar;;;
233;þverpólitískt samstarf um afnám gjaldeyrishafta;;;
234;endurskoðun laga um stjórn fiskveiða og veiðigjöld;;;
235;ástandið á lyflækningasviði LSH;;;
236;aukið skatteftirlit;;;
237;hjúkrunarrými á Suðurnesjum;;;
245;staðan á leigumarkaðinum;;;
258;óundirbúinn fyrirspurnatími;;;
259;aðgangur að landbúnaðarmarkaði ESB;;;
260;túlkaþjónusta fyrir heyrnarlausa;;;
261;vegalagning um Gálgahraun;;;
262;fjárhagsstaða háskólanna;;;
263;skuldaleiðrétting fyrir heimilin;;;
270;afnám hafta og uppgjör gömlu bankanna;;;
271;eignarréttur lántakenda;;;
272;sæstrengur;;;
280;óundirbúinn fyrirspurnatími;;;
283;kynbundinn launamunur;;;
284;friðlýsing Þjórsárvera;;;
285;þverfagleg samvinna í heilbrigðisþjónustu;;;
286;lög um fjárreiður ríkisins;;;
287;rekstur Landhelgisgæslunnar;;;
