málsnúmer;málsheiti;staða máls;heildartími;nefndir
32;rekstur Íbúðalánasjóðs;;;
33;starfsmannastefna Landspítalans;;;
34;brottnám líffæra;Vísað til ríkisstjórnar.;2:00:00;
35;mótun viðskiptastefnu Íslands;Ekki útrætt á 143. þingi. (Var í nefnd eftir fyrri umræðu.);;
36;lengd námstíma í framhaldsskólum;Fyrirspurninni var svarað skriflega.;;
37;óundirbúinn fyrirspurnatími;;0:05:00;
38;lagaumhverfi náttúruverndar;;0:10:00;
39;aukin skattheimta;;;
40;réttur til húsaleigubóta;;;
41;bætt lífskjör;;;
42;stimpilgjöld;;0:20:00;
43;ræktunartjón af völdum álfta og gæsa;;0:04:00;
44;samstarf við Færeyjar og Grænland á sviði heilbrigðisþjónustu;Samþykkt sem ályktun Alþingis.;0:23:00;
45;Vestfjarðavegur;Fyrirspurninni var svarað skriflega.;;
46;viðurlög við ölvunar- og vímuefnaakstri;Fyrirspurninni var svarað skriflega.;;
47;sjúkrabifreiðar í umdæmi Heilbrigðisstofnunar Vesturlands;Fyrirspurninni var svarað skriflega.;;
48;stöður náms- og starfsráðgjafa;Fyrirspurninni var svarað skriflega.;;
49;úrgangs- og spilliefni frá bandaríska varnarliðinu á Heiðarfjalli á Langanesi;Fyrirspurninni var svarað skriflega.;;
50;óundirbúinn fyrirspurnatími;;;
51;skaðabótaábyrgð í tengslum við úrgangs- og spilliefni frá bandaríska varnarliðinu í Langanesbyggð;Fyrirspurninni var svarað skriflega.;;
52;áætlaðar tekjur af legugjöldum;Fyrirspurninni var svarað skriflega.;;
53;framtíðarsýn varðandi fæðingarorlof;;;
54;sjúklingagjöld og forgangsröðun við tekjuöflun ríkissjóðs;;;
55;viðbrögð við ritinu Hreint loft -- betri heilsa;Fyrirspurninni var svarað munnlega.;;
56;hámarksskipunartími forstöðumanna menningarstofnana;Fyrirspurninni var svarað munnlega.;;
57;efling skákiðkunar í skólum;Fyrirspurninni var svarað munnlega.;;
58;upptaka gæðamerkisins ,,broskarlinn";Ekki útrætt á 143. þingi. (Var í nefnd eftir fyrri umræðu.);;
59;raforkustrengur til Evrópu;;7:34:00;
60;raflínur í jörð;;5:48:00;
61;byggingarvörur;Ekki útrætt á 143. þingi. (Var í nefnd eftir 1. umræðu.);2:20:00;
62;afnám gjaldeyrishafta;;-1 day, 18:42:00;
63;samningar við erlenda kröfuhafa;;;
64;varðveisla handritanna í Þjóðmenningarhúsinu;;;
65;fjárhagsleg samskipti ríkis og sveitarfélaga;;;
66;flóttamenn frá Sýrlandi;;;
67;samning stefnumarkandi frumvarpa og þingsályktunartillagna;Samþykkt sem ályktun Alþingis.;1:25:00;
68;kosningar til Alþingis;Ekki útrætt á 143. þingi. (Var í nefnd eftir 1. umræðu.);;
69;þingsköp Alþingis;Ekki útrætt á 143. þingi. (Var í nefnd eftir 1. umræðu.);;
70;jafnt búsetuform barna sem búa á tveimur heimilum;Samþykkt sem ályktun Alþingis.;1:55:00;
71;skráning upplýsinga um umgengnisforeldra;Samþykkt sem ályktun Alþingis.;1:17:00;
72;húsaleigubætur;Ekki útrætt á 143. þingi. (Var í nefnd eftir 1. umræðu.);;
73;fríverslunarsamningur Íslands og Kína;Samþykkt sem ályktun Alþingis.;4:29:00;
74;óundirbúinn fyrirspurnatími;;0:12:00;
75;ákvörðun EES-nefndarinnar nr. 45/2013 um breytingu á XX. viðauka við EES-samninginn;Samþykkt sem ályktun Alþingis.;;
76;staða kvenna innan lögreglunnar;;;
77;ákvörðun EES-nefndarinnar nr. 94/2013 um breytingu á XVII. viðauka við EES-samninginn;Samþykkt sem ályktun Alþingis.;3:12:00;
78;ákvörðun EES-nefndarinnar nr. 129/2013 um breytingu á XVI. viðauka við EES-samninginn;Samþykkt sem ályktun Alþingis.;1:07:00;
79;girðingamál Vegagerðarinnar;Fyrirspurninni var svarað skriflega.;;
80;kvartanir og athugasemdir við störf lögreglunnar;Fyrirspurninni var svarað skriflega.;;
81;grundvöllur hækkunar skrásetningargjalda opinberra háskóla;Fyrirspurninni var svarað skriflega.;;
82;fjöldi iðnnema og námslok þeirra;Fyrirspurninni var svarað skriflega.;;
83;úthlutunarhlutfall Rannsóknasjóðs;Fyrirspurninni var svarað skriflega.;;
84;sjúkraflug;Fyrirspurninni var svarað skriflega.;;
85;sæstrengur til Bretlands;;;
86;atvinnutækifæri fyrir ungt fólk;;0:10:00;
87;undanþágur frá upplýsingalögum;;;
88;sjúkraflutningar;;1:02:00;
89;njósnir bandarískra yfirvalda á Íslandi og víðar;;3:03:00;
90;meðferð sakamála;Samþykkt sem lög frá Alþingi.;0:03:00;
91;skaðsemisábyrgð;Samþykkt sem lög frá Alþingi.;2:01:00;
92;skiptileigusamningar fyrir afnot af húsnæði í orlofi eða frístundum o.fl.;Samþykkt sem lög frá Alþingi.;0:36:00;
93;dómstólar;Samþykkt sem lög frá Alþingi.;0:05:00;
94;Neytendastofa og talsmaður neytenda;Samþykkt sem lög frá Alþingi.;2:15:00;
95;hollustuhættir og mengunarvarnir;Samþykkt sem lög frá Alþingi.;0:53:00;
96;óundirbúinn fyrirspurnatími;;1:00:00;
97;framtíð rannsóknarsjóða og nýsköpunar;;0:55:00;
98;hjúkrunarrými á höfuðborgarsvæðinu;Fyrirspurninni var svarað skriflega.;;
99;Dettifossvegur;Fyrirspurninni var svarað munnlega.;;
100;landsáætlun um meðhöndlun úrgangs;Fyrirspurninni var svarað skriflega.;;
101;starfshópar og samráð um meðhöndlun úrgangs;Fyrirspurninni var svarað skriflega.;;
102;óundirbúinn fyrirspurnatími;;0:16:00;
103;skýrsla Ríkisendurskoðunar um framkvæmd fjárlaga;;;
104;viðræður við kröfuhafa og afnám gjaldeyrishafta;;;
105;bygging nýs Landspítala;;;
106;sjúkraflutningar á landsbyggðinni;;;
107;áætlanir um fækkun sjúkrabifreiða;;0:30:00;
108;framhaldsskóladeildir;Fyrirspurninni var svarað munnlega.;;
109;almenn hegningarlög;Samþykkt sem lög frá Alþingi.;4:50:00;
110;matvæli;Samþykkt sem lög frá Alþingi.;1:20:00;
111;vaxtakostnaður ríkissjóðs af erlendum lánum;Fyrirspurninni var svarað skriflega.;;
112;læknisfræðinám;Fyrirspurninni var svarað skriflega.;;
113;nauðungarsölur;Fyrirspurnin var kölluð aftur.;;
114;upplýsingalög;Ekki útrætt á 143. þingi. (Beið 1. umræðu.);;
115;bótasvik í almannatryggingakerfinu;Fyrirspurninni var svarað skriflega.;;
116;fjárfestingaráætlun;;;
117;afplánun;Fyrirspurninni var svarað skriflega.;;
118;heilbrigðisþjónusta við fanga;Fyrirspurninni var svarað skriflega.;;
119;bætt ímynd Alþingis á samfélagsmiðlum;Ekki útrætt á 143. þingi. (Var í nefnd eftir fyrri umræðu.);;
120;mat á umhverfisáhrifum;Ekki útrætt á 143. þingi. (Var í nefnd eftir 1. umræðu.);1:40:00;
121;afnám gjaldeyrishafta;;;
122;útibú umboðsmanns skuldara á Akureyri;;4:58:00;
123;þjónusta umboðsmanns skuldara við landsbyggðina;;;
124;nauðungarsölur;;;
125;fækkun sjúkrabifreiða;;;
126;geðheilbrigðisþjónusta við börn á Norður- og Austurlandi;Fyrirspurninni var svarað skriflega.;;
127;flugrekstrarleyfi;Fyrirspurninni var svarað skriflega.;;
128;ríkisstyrkt flug;Fyrirspurninni var svarað munnlega.;;
129;Húsavíkurflugvöllur;Fyrirspurninni var svarað munnlega.;;
130;óundirbúinn fyrirspurnatími;;;
131;Saurbær í Eyjafirði;Fyrirspurninni var svarað munnlega.;;
132;verslanaskrár, firmu og prókúruumboð, sameignarfélög og fyrirtækjaskrá;Samþykkt sem lög frá Alþingi.;1:05:00;
133;skipting tekna af hreindýraveiðileyfum;Fyrirspurninni var svarað skriflega.;;
134;eign Byggðastofnunar á Breiðdalsvík;Fyrirspurninni var svarað munnlega.;;
135;óundirbúinn fyrirspurnatími;;;
136;makrílveiðar;;0:06:00;
137;skuldamál heimilanna;;1:15:00;
138;aukin þátttaka fatlaðs fólks í starfi að eigin málefnum;;4:40:00;
139;framganga lögreglunnar gegn mótmælendum í Gálgahrauni;;0:25:00;
140;stækkun friðlandsins í Þjórsárverum;;4:05:00;
141;lóðarleigusamningar innan þjóðgarðsins á Þingvöllum;Fyrirspurninni var svarað skriflega.;;
142;Atvinnuleysistryggingasjóður og félagsleg aðstoð;Fyrirspurninni var svarað skriflega.;;
143;ábending Ríkisendurskoðunar um þjónustusamninga við öldrunarheimili;;;
144;staða flóttamanna og meðferð þeirra;;6:00:00;
145;meðferð og framkvæmd ályktana Alþingis 2012;;-1 day, 22:59:00;
146;síldarútvegsnefnd og sjóðir í þágu síldarútvegsins;Samþykkt sem lög frá Alþingi.;0:30:00;
147;húsaleigubætur;Ekki útrætt á 143. þingi. (Var í nefnd eftir 1. umræðu.);0:09:00;
148;skýrsla Ríkisendurskoðunar um framkvæmd fjárlaga fyrstu sex mánuði ársins;;0:27:00;
149;heilbrigðismál á landsbyggðinni;;;
150;nauðungarsala;Ekki útrætt á 143. þingi. (Var í nefnd eftir 1. umræðu.);;
151;innheimta dómsekta;Fyrirspurninni var svarað munnlega.;;
152;sveitarstjórnarlög;Samþykkt sem lög frá Alþingi.;0:46:00;
153;kosning nýrra stjórna ríkisfyrirtækja;;11:06:00;
154;pólitísk afskipti af stjórn Landsvirkjunar;;;
155;bílastyrkir lífeyrisþega;;;
156;hækkun skráningargjalda í háskólum;;5:38:00;
157;opinn hugbúnaður í menntakerfinu;;0:21:00;
158;aðgerðir til að draga úr reglubyrði atvinnulífsins og efla samkeppni;Ekki útrætt á 143. þingi. (Var í nefnd eftir 1. umræðu.);2:04:00;
159;vísindarannsóknir á heilbrigðissviði;Samþykkt sem lög frá Alþingi.;2:06:00;
160;lífsýnasöfn;Samþykkt sem lög frá Alþingi.;12:45:00;
161;óundirbúinn fyrirspurnatími;;6:53:00;
162;skilmálabreytingar á skuldabréfi ríkissjóðs til Seðlabanka Íslands;Fyrirspurninni var svarað skriflega.;;
163;ný stofnun um borgaraleg réttindi;;0:02:00;
164;skuldaleiðréttingar;;0:20:00;
165;fjárveiting vegna vetrarólympíuleika fatlaðra;;0:21:00;
166;fjármunir til þjónustu við fatlað fólk;;0:07:00;
167;hagvaxtarhorfur;;6:35:00;
168;makrílkvóti á uppboðsmarkað;;6:48:00;
169;stofnun Hofsjökulsþjóðgarðs;Ekki útrætt á 143. þingi. (Var í nefnd eftir fyrri umræðu.);;
170;tekjur ríkissjóðs af hverjum ferðamanni;Fyrirspurninni var svarað skriflega.;;
171;framkvæmd skólastarfs í grunnskólum skólaárin 2007--2008, 2008--2009 og 2009--2010;;;
172;úranvinnsla á Grænlandi;Fyrirspurnin var kölluð aftur.;;
173;gagnagrunnur á heilbrigðissviði;Fyrirspurninni var svarað munnlega.;;
174;Hús íslenskra fræða;Fyrirspurninni var svarað munnlega.;;
175;tekjuskattur;Ekki útrætt á 143. þingi. (Var í nefnd eftir 1. umræðu.);0:29:00;
176;jöfn staða og jafn réttur kvenna og karla;Samþykkt sem lög frá Alþingi.;3:22:00;
177;skyldutrygging lífeyrisréttinda og starfsemi lífeyrissjóða;Samþykkt sem lög frá Alþingi.;0:47:00;
178;óundirbúinn fyrirspurnatími;;1:45:00;
179;málefni RÚV;;1:26:00;
180;tillögur ríkisstjórnarinnar um skuldaleiðréttingu;;;
181;störf fjárlaganefndar;;;
182;nauðungarsölur og dómur Evrópudómstólsins;;0:09:00;
183;framkvæmdir við Vestfjarðaveg nr. 60;;0:02:00;
184;uppbygging fjölsóttra ferðamannastaða;;;
185;málefni aldraðra;Samþykkt sem lög frá Alþingi.;0:27:00;
186;barnaverndarlög;Samþykkt sem lög frá Alþingi.;2:01:00;
187;visthönnun vöru sem notar orku;Ekki útrætt á 143. þingi. Beið 2. umræðu;1:10:00;
188;stöðvun á nauðungarsölum;Fyrirspurnin var kölluð aftur.;;
189;verðbréfaviðskipti og kauphallir;Samþykkt sem lög frá Alþingi.;0:44:00;
190;aldursmörk heilbrigðisstarfsmanna sem reka eigin starfsstofu;Fyrirspurninni var svarað munnlega.;;
191;makrílkvóti;Fyrirspurninni var svarað skriflega.;;
192;tóbaksvarnir;Fyrirspurninni var svarað skriflega.;;
193;óundirbúinn fyrirspurnatími;;;
194;málefni RÚV;;;
195;stefna ríkisstjórnarinnar gagnvart RÚV;;0:02:00;
196;niðurskurður fjárveitinga til RÚV;;0:15:00;
197;sameiningar heilbrigðisstofnana;;;
198;niðurskurður í framhaldsskólum í Hafnarfirði;;1:05:00;
199;fjáraukalög 2013;Samþykkt sem lög frá Alþingi.;11:22:00;
200;mannanöfn;Ekki útrætt á 143. þingi. (Var í nefnd eftir 1. umræðu.);2:39:00;
201;dómstólar;Samþykkt sem lög frá Alþingi.;0:03:00;
202;flutningur stjórnsýslu um málefni hreindýra;Ekki útrætt á 143. þingi. (Var í nefnd eftir fyrri umræðu.);;
203;háhraðanettengingar í dreifbýli;Ekki útrætt á 143. þingi. (Var í nefnd eftir fyrri umræðu.);;
204;tekjuskattur;Samþykkt sem lög frá Alþingi.;-1 day, 22:37:00;
205;tollalög o.fl.;Samþykkt sem lög frá Alþingi.;0:32:00;
206;framferði kínverskra yfirvalda gagnvart tíbesku þjóðinni;Ekki útrætt á 143. þingi. (Var í nefnd eftir fyrri umræðu.);0:27:00;
207;löggjöf og starfsskrá félagsmiðstöðva;Ekki útrætt á 143. þingi. (Beið fyrri umræðu.);;
208;kostnaður við uppfærslu tekjuviðmiða vegna uppbóta á lífeyri;Fyrirspurninni var svarað skriflega.;;
209;endurnýjanlegt eldsneyti í samgöngum á landi;Samþykkt sem lög frá Alþingi.;;
210;velferð dýra;Samþykkt sem lög frá Alþingi.;2:20:00;
211;óundirbúinn fyrirspurnatími;;4:16:00;
212;óundirbúinn fyrirspurnatími;;;
213;færsla eftirlits með rafföngum til Mannvirkjastofnunar;Samþykkt sem lög frá Alþingi.;1:56:00;
214;fjármagn til skuldaleiðréttinga;;0:15:00;
215;hækkanir ýmissa gjalda ríkisins;;5:52:00;
216;málefni heilsugæslunnar;;0:00:00;
217;stefna ríkisstjórnarinnar gagnvart RÚV;;0:00:00;
218;opinberar byggingar;Fyrirspurninni var svarað skriflega.;;
219;tillögur ríkisstjórnarinnar til að lækka höfuðstól verðtryggðra húsnæðislána;Fyrirspurninni var svarað skriflega.;;
220;opinber innkaup;Samþykkt sem lög frá Alþingi.;1:09:00;
221;siglingavernd o.fl.;Ekki útrætt á 143. þingi. Beið 2. umræðu;4:08:00;
222;greiðsluvandi heimilanna;;2:00:00;
223;lekinn hjá Vodafone og lög um gagnaveitur;;0:45:00;
224;eftirlit með gagnaveitum;;;
225;niðurgreiðsla skulda ríkissjóðs;;;
226;lánsveð;;;
227;ákvörðun EES-nefndarinnar nr. 113/2013 um breytingu á II. viðauka við EES-samninginn;Samþykkt sem ályktun Alþingis.;0:35:00;
228;viðbótarbókun við samning um tölvubrot;Ekki útrætt á 143. þingi. (Var í nefnd eftir fyrri umræðu.);1:03:00;
229;nýfjárfestingar á Íslandi;Fyrirspurninni var svarað skriflega.;;
230;leiðrétting á lífeyrisgreiðslum til öryrkja og ellilífeyrisþega;Fyrirspurninni var svarað skriflega.;;
231;óundirbúinn fyrirspurnatími;;;
232;nauðungarsala;Samþykkt sem lög frá Alþingi.;2:54:00;
233;starfsmannamál RÚV;;1:55:00;
234;hafnalög;Ekki útrætt á 143. þingi. Beið 2. umræðu;2:01:00;
235;Orkustofnun og leit, rannsóknir og vinnsla kolvetnis;Ekki útrætt á 143. þingi. Beið 2. umræðu;1:05:00;
236;sala fasteigna og skipa;Ekki útrætt á 143. þingi. (Var í nefnd eftir 1. umræðu.);4:03:00;
237;jöfnun kostnaðar við dreifingu raforku;Ekki útrætt á 143. þingi. Beið 2. umræðu;1:45:00;
238;greiðslur yfir landamæri í evrum;Samþykkt sem lög frá Alþingi.;1:07:00;
239;skýrsla umboðsmanns Alþingis fyrir árið 2012;;;
240;fjárfesting í nýsköpun;;;
241;leiðrétting verðtryggðra námslána;;;
242;dýraeftirlit;;;
243;kvótasetning í landbúnaði;;;
244;leiðréttingar í fjáraukalögum til heilbrigðisstofnana;;;
245;veiting ríkisborgararéttar;Samþykkt sem lög frá Alþingi.;;
246;opinber skjalasöfn;Samþykkt sem lög frá Alþingi.;21:00:00;
247;starf samhæfingarnefndar um siðferðileg viðmið fyrir stjórnsýsluna;;;
248;óundirbúinn fyrirspurnatími;;;
249;niðurskurðartillögur fjárlaganefndar;;10:27:00;
250;framlög til þróunaraðstoðar;;0:02:00;
251;samvinna við sveitarfélögin um skuldaleiðréttingar;;12:00:00;
252;kæruferli fyrndra kynferðisbrota;;;
253;bætur vegna kynferðisbrota í Landakotsskóla;;;
254;Fjármálaeftirlitið og starfsemi Dróma hf.;Fyrirspurninni var svarað skriflega.;;
255;rekstur Dróma hf. o.fl.;Fyrirspurninni var svarað skriflega.;;
256;stefnumótandi byggðaáætlun 2014--2017;Samþykkt sem ályktun Alþingis.;10:44:00;
257;rannsókn á tengslum rússneskra aðila við íslenska banka;Fyrirspurninni var svarað skriflega.;;
258;kaup Íslendinga á stórfyrirtækjum í Danmörku;Fyrirspurninni var svarað skriflega.;;
259;óskjalfest fjármagn frá Rússlandi;Fyrirspurninni var svarað skriflega.;;
260;peningaþvætti í íslensku bönkunum;Fyrirspurninni var svarað skriflega.;;
261;fjármögnun öryggissveita í Írak;Fyrirspurninni var svarað skriflega.;;
262;rannsóknir akademískra starfsmanna háskóla;Fyrirspurninni var svarað skriflega.;;
263;Drómi hf.;;;
264;vernd afhjúpenda;Fyrirspurninni var svarað munnlega.;;
265;tekjuskattur;Samþykkt sem lög frá Alþingi.;0:10:00;
266;ráðstafanir gegn málverkafölsunum;Samþykkt sem ályktun Alþingis.;0:10:00;
267;sóknaráætlun skapandi greina til þriggja ára;Ekki útrætt á 143. þingi. (Var í nefnd eftir fyrri umræðu.);0:03:00;
268;aðgerðaáætlun um notkun íslensku í stafrænni upplýsingatækni;Samþykkt sem ályktun Alþingis.;1:22:00;
269;skattsvik;Fyrirspurninni var svarað skriflega.;;
270;bótasvik;Fyrirspurninni var svarað skriflega.;;
271;lagaskrifstofa Alþingis;Ekki útrætt á 143. þingi. (Var í nefnd eftir 1. umræðu.);1:42:00;
272;nýsköpunarfyrirtæki;Fyrirspurninni var svarað skriflega.;;
273;höfuðstólslækkun verðtryggðra húsnæðislána;;;
274;fjármálafyrirtæki;Samþykkt sem lög frá Alþingi.;0:29:00;
275;ákvörðun EES-nefndarinnar nr. 164/2013 um breytingu á II. viðauka við EES-samninginn;Samþykkt sem ályktun Alþingis.;1:25:00;
276;kaup ríkisins á Grímsstöðum á Fjöllum;Ekki útrætt á 143. þingi. (Var í nefnd eftir fyrri umræðu.);;
277;óundirbúinn fyrirspurnatími;;;
278;ráðstöfun fjármuna til vistvænna starfa og græna hagkerfisins;Fyrirspurninni var svarað skriflega.;;
279;viðbrögð AGS við skuldaleiðréttingum ríkisstjórnarinnar;;;
280;ný stjórn RÚV og uppsagnir;;;
281;málefni Dróma;;;
282;vinna breytingartillagna við fjárlög;;0:33:00;
283;Landbúnaðarháskólinn á Hvanneyri;;5:10:00;
284;umferðarlög;Ekki útrætt á 143. þingi. (Var í nefnd eftir 1. umræðu.);1:59:00;
285;skýrsla Ríkisendurskoðunar um framkvæmd fjárlaga janúar--júní 2013;;;
286;skýrsla Ríkisendurskoðunar um reiknilíkan heilbrigðisstofnana á landsbyggðinni;;;
287;ferðaþjónusta fatlaðra;Fyrirspurninni var svarað skriflega.;;
288;samningur um þátttöku Króatíu á Evrópska efnahagssvæðinu;Samþykkt sem lög frá Alþingi.;0:33:00;
289;virðisaukaskattur;Ekki útrætt á 143. þingi. (Var í nefnd eftir 1. umræðu.);;
290;ferðalög forseta Íslands og maka hans;Fyrirspurninni var svarað skriflega.;;
291;hvalamjöl;Fyrirspurninni var svarað skriflega.;;
292;afsökunarbeiðni og greiðsla skaðabóta til iðkenda Falun Gong;Ekki útrætt á 143. þingi. (Var í nefnd eftir fyrri umræðu.);0:00:00;
293;óundirbúinn fyrirspurnatími;;0:20:00;
294;IPA-styrkir;;3:49:00;
295;upplýsingar um málefni hælisleitenda;;;
296;álver í Helguvík;;;
297;áframhald aðildarviðræðna við ESB;;;
298;kjarasamningar og gjaldskrárhækkanir;;;
299;aðgerðir á kvennadeildum sjúkrahúsanna;Fyrirspurninni var svarað skriflega.;;
300;skattafsláttur vegna kostnaðar við ferðir til og frá vinnu;Ekki útrætt á 143. þingi. (Var í nefnd eftir fyrri umræðu.);;
301;uppsagnir starfsmanna Stjórnarráðs Íslands;Fyrirspurninni var svarað skriflega.;;
302;fegrunar- og lýtaaðgerðir á kynfærum kvenna;Fyrirspurninni var svarað skriflega.;;
303;þjónustusamningar við veitendur heilbrigðisþjónustu;Fyrirspurninni var svarað skriflega.;;
304;losunarheimildir gróðurhúsalofttegunda;Fyrirspurninni var svarað skriflega.;;
305;nauðungarsölur á fasteignum;Fyrirspurninni var svarað skriflega.;;
306;markaðar tekjur ríkissjóðs;Ekki útrætt á 143. þingi. (Var í nefnd eftir 1. umræðu.);1:33:00;
307;sjúkraflug;Fyrirspurninni var svarað skriflega.;;
308;flugfargjöld innan lands;Fyrirspurninni var svarað skriflega.;;
309;skilgreining auðlinda;Ekki útrætt á 143. þingi. (Var í nefnd eftir fyrri umræðu.);;
310;almenn hegningarlög;Ekki útrætt á 143. þingi. (Beið 1. umræðu.);;
311;skipulögð leit að krabbameini í ristli;Fyrirspurninni var svarað skriflega.;;
312;Keflavíkurflugvöllur, aðgengi og atvinnuuppbygging;Fyrirspurninni var svarað skriflega.;;
313;Hornafjarðarhöfn;Fyrirspurninni var svarað skriflega.;;
314;hagkvæmni lestarsamgangna;Ekki útrætt á 143. þingi. (Beið fyrri umræðu.);;
315;gjaldskrárlækkanir o.fl.;Samþykkt sem lög frá Alþingi.;1:25:00;
316;fjárhagslegar tryggingarráðstafanir;Ekki útrætt á 143. þingi. (Var í nefnd eftir 1. umræðu.);5:22:00;
317;heilbrigðisstofnanir á Vestfjörðum;Fyrirspurninni var svarað skriflega.;;
318;aðstoð við sýrlenska flóttamenn;Ekki útrætt á 143. þingi. (Var í nefnd eftir fyrri umræðu.);0:01:00;
319;fiskeldi;Samþykkt sem lög frá Alþingi.;13:20:00;
320;aðildarviðræður við Evrópusambandið;;12:34:00;
321;vegaframkvæmdir á Ströndum;Fyrirspurninni var svarað skriflega.;;
322;öfugur samruni lögaðila;Fyrirspurninni var svarað skriflega.;;
323;óundirbúinn fyrirspurnatími;;;
324;frumvarp um fjárhagsaðstoð vegna gjaldþrotaskipta;;;
325;framlög til framhaldsskóla í fjárlögum;;;
326;kjarasamningar og skattbreytingar;;;
327;skattar á fjármálafyrirtæki;;1:49:00;
328;framlög til hjúkrunarheimila;;0:00:00;
329;fríverslunarsamningur EFTA og Bosníu og Hersegóvínu og landbúnaðarsamningur sömu ríkja;Samþykkt sem ályktun Alþingis.;0:00:00;
330;útboð seinni áfanga Dettifossvegar;Ekki útrætt á 143. þingi. (Beið fyrri umræðu.);;
331;áætlunarferðir milli lands og Vestmannaeyja;Fyrirspurninni var svarað skriflega.;;
332;greiðsluþátttaka, hjálpartæki og þjálfun;Fyrirspurninni var svarað skriflega.;;
333;dómsmál gegn íslenska ríkinu;Fyrirspurninni var svarað skriflega.;;
334;millilandaflug um Hornafjarðarflugvöll;Ekki útrætt á 143. þingi. (Beið fyrri umræðu.);;
335;mótun stefnu til að draga úr skaðlegum afleiðingum vímuefnaneyslu;Samþykkt sem ályktun Alþingis.;4:05:00;
336;undirbúningur að hönnun og stækkun Þorlákshafnar;Ekki útrætt á 143. þingi. (Beið fyrri umræðu.);;
337;Sundabraut;Ekki útrætt á 143. þingi. (Beið fyrri umræðu.);;
338;greiðsludráttur í verslunarviðskiptum;Ekki útrætt á 143. þingi. Beið 2. umræðu;2:18:00;
339;skýrsla um rannsókn á falli sparisjóðanna;Fyrirspurninni var svarað skriflega.;;
340;umsókn Íslands um aðild að Evrópusambandinu dregin til baka;Ekki útrætt á 143. þingi. (Var í nefnd eftir fyrri umræðu.);4:47:00;
341;skipan opinberra framkvæmda;Ekki útrætt á 143. þingi. (Beið 1. umræðu.);;
342;málefni aldraðra;Ekki útrætt á 143. þingi. (Beið 1. umræðu.);;
343;Fríverslunarsamtök Evrópu og Evrópska efnahagssvæðið 2013;;;
344;ráðgefandi þjóðaratkvæðagreiðsla um áframhald aðildarviðræðna við Evrópusambandið;Ekki útrætt á 143. þingi. (Var í nefnd eftir fyrri umræðu.);1:51:00;
345;tollvernd landbúnaðarvara;Fyrirspurninni var svarað skriflega.;;
346;ættleiðingar;Fyrirspurninni var svarað skriflega.;;
347;stuðningur við mæður og börn í Afríku;Fyrirspurninni var svarað skriflega.;;
348;mótmæli gegn ofsóknum gegn samkynhneigðum í Úganda;Samþykkt sem ályktun Alþingis.;0:42:00;
349;ákvörðun EES-nefndarinnar nr. 226/2013 um breytingu á II. viðauka við EES-samninginn;Samþykkt sem ályktun Alþingis.;1:26:00;
