málsnúmer;málsheiti;staða máls;heildartími;nefndir
58;skólavist barna og ungmenna í hælisleit;Fyrirspurninni var svarað skriflega.;;
59;málefni aldraðra;Ekki útrætt á 147. þingi. (Beið 1. umræðu.);;
60;brottnám líffæra;Ekki útrætt á 147. þingi. (Beið 1. umræðu.);;
61;auðlindir og auðlindagjöld;Ekki útrætt á 147. þingi. (Beið fyrri umræðu.);;
62;þjóðfáni Íslendinga og ríkisskjaldarmerkið;Ekki útrætt á 147. þingi. (Beið 1. umræðu.);;
63;fjarfundir á vegum ráðuneyta og notkun fjarfundabúnaðar;Ekki útrætt á 147. þingi. (Beið fyrri umræðu.);;
64;réttur barna til að vita um uppruna sinn;Ekki útrætt á 147. þingi. (Beið fyrri umræðu.);;
65;kosningar til sveitarstjórna;Ekki útrætt á 147. þingi. (Beið 1. umræðu.);;
66;notkun og ræktun lyfjahamps;Ekki útrætt á 147. þingi. (Beið fyrri umræðu.);;
67;félagsþjónusta sveitarfélaga;Ekki útrætt á 147. þingi. (Beið 1. umræðu.);;
68;fjöldi félagslegra íbúða;Fyrirspurninni var svarað skriflega.;;
69;þjónusta við fatlað fólk með miklar stuðningsþarfir;Ekki útrætt á 147. þingi. (Beið 1. umræðu.);;
70;viðbúnaður við kjarnorkumengun;Fyrirspurninni var svarað skriflega.;;
71;plastagnir í neysluvatni og verndun neysluvatns;Fyrirspurninni var ekki svarað.;;
72;ferðakostnaður alþingismanna;Fyrirspurninni var svarað skriflega.;;
73;gengisflökt;Fyrirspurninni var svarað skriflega.;;
74;umsókn Íslands að Geimvísindastofnun Evrópu;Fyrirspurninni var svarað skriflega.;;
75;viðurlög við því að hylma yfir kynferðisafbrot;Fyrirspurninni var svarað skriflega.;;
76;fæðingarorlof;Fyrirspurninni var svarað skriflega.;;
77;áhrif brúa yfir firði á lífríki;Fyrirspurninni var svarað skriflega.;;
78;ónotaðar íbúðir og íbúðir í gistiþjónustu;Fyrirspurninni var ekki svarað.;;
79;skammtímaútleiga íbúða;Fyrirspurninni var svarað skriflega.;;
80;innheimtuaðgerðir tollstjóra;Fyrirspurninni var svarað skriflega.;;
81;Garðyrkjuskólinn;Fyrirspurninni var svarað skriflega.;;
82;raforkuflutningur í dreifðum byggðum;Fyrirspurninni var ekki svarað.;;
83;jarðvangar;Fyrirspurninni var svarað skriflega.;;
84;tæknifrjóvganir og greiðsluþátttaka;Fyrirspurninni var svarað skriflega.;;
85;siðareglur;Fyrirspurninni var ekki svarað.;;
86;upplýsingagjöf til almennings og fjölmiðla;Fyrirspurninni var ekki svarað.;;
87;ferðakostnaður ráðherra;Fyrirspurninni var svarað skriflega.;;
88;ferðakostnaður ráðherra;Fyrirspurninni var svarað skriflega.;;
89;ferðakostnaður ráðherra;Fyrirspurninni var svarað skriflega.;;
90;ferðakostnaður ráðherra;Fyrirspurninni var svarað skriflega.;;
91;ferðakostnaður ráðherra;Fyrirspurninni var svarað skriflega.;;
92;ferðakostnaður ráðherra;Fyrirspurninni var svarað skriflega.;;
93;ferðakostnaður ráðherra;Fyrirspurninni var ekki svarað.;;
94;ferðakostnaður ráðherra;Fyrirspurninni var svarað skriflega.;;
95;ferðakostnaður ráðherra;Fyrirspurninni var svarað skriflega.;;
96;kennitölur til erlendra ríkisborgara;Fyrirspurninni var ekki svarað.;;
97;barnalög;Fyrirspurninni var svarað skriflega.;;
98;hlunnindamat vegna notkunar þingmanna á bílaleigubílum;Fyrirspurninni var svarað skriflega.;;
99;undanþágur frá afborgunum námslána;Fyrirspurninni var svarað skriflega.;;
100;innflutningur gæludýra;Fyrirspurninni var ekki svarað.;;
101;alþjóðasamningur um efnahagsleg, félagsleg og menningarleg réttindi;Ekki útrætt á 147. þingi. (Beið fyrri umræðu.);;
102;framkvæmdaleyfi vegna uppbyggingar á Vestfjarðavegi;Ekki útrætt á 147. þingi. (Beið 1. umræðu.);;
103;stjórnarskipunarlög;Ekki útrætt á 147. þingi. (Beið 1. umræðu.);;
104;virðisaukaskattur;Ekki útrætt á 147. þingi. (Beið 1. umræðu.);;
105;stjórnsýsluendurskoðun á starfsemi Útlendingastofnunar;;;
106;tölvukerfi og upplýsingatæknimál ríkisins;;;
107;stjórnarskipunarlög;Ekki útrætt á 147. þingi. (Beið 1. umræðu.);;
108;tekjuskattur;Ekki útrætt á 147. þingi. (Beið 1. umræðu.);;
109;stimpilgjald;Ekki útrætt á 147. þingi. (Beið 1. umræðu.);;
110;Almannaheillasjóður;Ekki útrætt á 147. þingi. (Beið 1. umræðu.);;
111;almenn hegningarlög;Samþykkt sem lög frá Alþingi.;0:30:00;
112;kosningar til Alþingis;Samþykkt sem lög frá Alþingi.;;
113;útlendingar;Samþykkt sem lög frá Alþingi.;1:50:00;
114;frestun á fundum Alþingis;;;
115;aðdragandi að útgáfu starfsleyfis til kísilverksmiðju Sameinaðs sílikons hf. í Helguvík o.fl.;;;
116;búvörulög;Ekki útrætt á 147. þingi. (Beið 1. umræðu.);;
117;framlagning frumvarps að nýrri stjórnarskrá;Ekki útrætt á 147. þingi. (Beið fyrri umræðu.);;
118;rafræn fasteignaviðskipti og ástandsskýrslur fasteigna;Ekki útrætt á 147. þingi. (Beið fyrri umræðu.);;
119;sveitarstjórnarlög;Ekki útrætt á 147. þingi. (Beið 1. umræðu.);;
120;lágskattaríki;Ekki útrætt á 147. þingi. (Beið fyrri umræðu.);;
121;skatttekjur, skattrannsóknir og skatteftirlit;;;
122;atvinnuleysistryggingar;Ekki útrætt á 147. þingi. (Beið 1. umræðu.);;
123;almenn hegningarlög;Ekki útrætt á 147. þingi. (Beið 1. umræðu.);;
124;kröfur um menntun opinberra starfsmanna sem fara með valdheimildir, stjórnsýsluaðgerðir og löggæslu;Fyrirspurninni var svarað skriflega.;;
125;kröfur um menntun starfsmanna barnaverndar sem fara með valdheimildir, stjórnsýsluaðgerðir og löggæslu;Fyrirspurninni var svarað skriflega.;;
126;kröfur um menntun starfsmanna ríkisstofnana sem fara með valdheimildir, stjórnsýsluaðgerðir og löggæslu;Fyrirspurninni var ekki svarað.;;
127;kröfur um menntun landvarða og heilbrigðisfulltrúa sem fara með valdheimildir, stjórnsýsluaðgerðir og löggæslu;Fyrirspurninni var svarað skriflega.;;
128;innstæðutryggingar;Fyrirspurninni var svarað skriflega.;;
129;eftirfylgni við þingsályktun nr. 28/145, um stefnu og aðgerðaáætlun í geðheilbrigðismálum til fjögurra ára;Fyrirspurninni var svarað skriflega.;;
130;skólaakstur og malarvegir;Fyrirspurninni var ekki svarað.;;
131;erlendir áhrifaþættir bankahrunsins;Fyrirspurninni var svarað skriflega.;;
132;ærumeiðingar;Ekki útrætt á 147. þingi. (Beið 1. umræðu.);;
133;göng milli lands og Eyja;Ekki útrætt á 147. þingi. (Beið fyrri umræðu.);;
134;fjarskipti og meðferð sakamála;Ekki útrætt á 147. þingi. (Beið 1. umræðu.);;
135;rafræn viðskipti og önnur rafræn þjónusta;Ekki útrætt á 147. þingi. (Beið 1. umræðu.);;
136;andlát í fangageymslum og fangelsum;Fyrirspurninni var svarað skriflega.;;
137;undanþágur frá gjaldeyrishöftum;Fyrirspurninni var ekki svarað.;;
138;uppreist æru, reglur og framkvæmd;;;
